name,statePark,recreationArea,stateForest,description,physicalAddress,county,phoneNumber,dnrWebsite,directions,hours,LatLongCoordinates,slug,distance
Chippewa Flowage,TRUE,FALSE,FALSE,"The Chippewa Flowage, a 15,300-acre impoundment, is located in central Sawyer County, 15 miles east of Hayward. Dotted with about 200 undeveloped islands, it is Wisconsin's third-largest lake and boasts a highly irregular, wooded and generally undeveloped 233-mile shoreline. Boat-in to camp at one of several primitive campsites or explore the seemingly endless maze of islands, points, bays, floating bogs and channels.","10220 State Road 27
Hayward, WI 54843",Sawyer County,715-634-7433,https://dnr.wisconsin.gov/topic/lands/chippewaflowage,"The Chippewa Flowage is located in central Sawyer County in northwestern Wisconsin. Access from the south is via either State Highway 27 and 70 and Sawyer County Highway CC or from the north via Sawyer County Highway B and CC. Access points are off County Highway CC in the central portion of the property, County Highway B on the north, or via County Highway G and Dam Road on the southeast side. The property office is located on Highway 27 at the DNR Service Center in Hayward.",The property is open from 6 a.m. to 11 p.m.,"46.002210,-91.488230",chippewa-flowage,-1
Chippewa Moraine St. Rec. Area,FALSE,TRUE,FALSE,"Situated along the Ice Age National Scenic Trail, the Chippewa Moraine State Recreation Area offers unspoiled beauty with kettle lakes and many glacial features. Hiking, snowshoeing, backpack camping, fishing and bird watching are popular activities. The David R. Obey Ice Age Interpretive Center houses first-class glacial, cultural and natural history displays.","13394 County Highway M
New Auburn, WI 54757",Barron and Chippewa Counties,715-967-2800,https://dnr.wisconsin.gov/topic/parks/chipmoraine,The David R. Obey Ice Age Interpretive Center is 7 miles east of New Auburn and 1.9 miles east of State Highway 40 on County Highway M.,Chippewa Moraine State Recreation Area is open from 6 a.m. to 11 p.m. daily.,"45.220326,-91.410939",chippewa-moraine-st-rec-area,-1
Copper Culture State Park,TRUE,FALSE,FALSE,"Copper Culture State Park was the site of a prehistoric cemetery of the Old Copper Complex people who occupied the northern Midwest from ca. 4000 – 2000 BC.  Visitors can walk throughout the park and along the Oconto River, or tour the museum with artifacts end exhibits detailing the importance of the property. The42-acre property is just west of the city of Oconto. The park and museum is operated by the Oconto County Historical Society.","917 Park Ave
Oconto WI 54153",Oconto County,920-834-6206,https://dnr.wisconsin.gov/topic/parks/copperculture,"As you drive north on Highway 41 take the Highway 22 exit.  Turn left around the round-about, under the highway, then left around the second round-about to Copper Culture Way.  There are signs to help.  continue to the t-intersection and turn left.  Follow the road around to the park.","June 1st through Laber Day - 12:00 P.M. to 4:00 P.M
Open Weekends Labor Day through October 15th 12:00 P.M. to 4:00 P.M
Group Tours Available by Appointment May 1st through November 1st","44.8884,-87.8963",copper-culture-state-park,-1
Copper Falls State Park,TRUE,FALSE,FALSE,"Ancient lava flows, deep gorges and spectacular waterfalls make Copper Falls State Park one of Wisconsin's most scenic parks. Log buildings built by the Civilian Conservation Corps in the 1930s add to the park's charm.  The park offers camping, hiking, bicycling, picnicking, fishing and swimming opportunities in Loon Lake. The 1.7-mile Doughboy's Nature Trail, along the Bad River, is one of the best hikes in Wisconsin.","36764 Copper Falls Road
Mellen, WI 54546",Ashland County,715-274-5123,https://dnr.wisconsin.gov/topic/parks/copperfalls,Copper Falls is about two miles northeast of Mellen in Ashland County.,Copper Falls is open year-round from 6 a.m. to 11 p.m.,"46.3526,-90.6454",copper-falls-state-park,-1
Coulee Experimental St. Forest,FALSE,FALSE,TRUE,"The Coulee Experimental State Forest is a unique property in Wisconsin. This 3,000-acre forest is used for long-term forest watershed research studies to develop land management practices. The property is managed for forest production and wildlife habitat, and offers recreation opportunities for hunting, cross-country skiing, hiking and horseback riding. Coulee accurately describes the area, as the forest has many deep gulches and ravines.","2855-2819 Russlan Coulee Rd, La Crosse, WI 54601",La Crosse County,608-785-9007,https://dnr.wisconsin.gov/topic/StateForests/coulee,"The Coulee Experimental State Forest is located approximately 15 miles east of La Crosse in La Crosse County. The forest has two main parking areas. To access the eastern parking lot and ski trailhead, from Bangor take Highway 162 south to County Road II. Turn right on the forest road at the top of the hill. The parking area is at the end of the road. To reach the western side parking lot, take Highway 33 east from La Crosse, then north on County Road M. Turn right on Russlan Coulee Road, just east of Barre Mills. Parking areas are at the end of the road.",The property is open from 6 a.m. to 11 p.m.,"43.8478,-91.0420",coulee-experimental-st-forest,-1
Council Grounds State Park,TRUE,FALSE,FALSE,"Located along the beautiful Wisconsin River near the site of Native American encampments, Council Grounds State Park is a favorite for water enthusiasts. The park offers many recreational opportunities including family and group campsites, wooded trails, a beach area and an accessible fishing pier. A boat landing offers access to Lake Alexander and the Wisconsin River.","N1895 Council Grounds Dr
Merrill, WI 54452",Lincoln County,715-536-8773,https://dnr.wisconsin.gov/topic/parks/councilgrounds,Council Grounds is conveniently located just west of Merrill.,The park is open year-round from 6 a.m. to 11 p.m.,"45.1875,-89.7342",council-grounds-state-park,-1
Cross Plains State Park,TRUE,FALSE,FALSE,"The Ice Age Complex at Cross Plains is part of the National Ice Age Scientific Reserve. Located just west of Madison near the village of Cross Plains, this area contains an outstanding collection of glacial landforms, a gorge carved by meltwater and expansive views of both driftless and glaciated terrain.","8075 Old Sauk Pass Rd
Cross Plains, WI 53528",Dane County,608-831-3005,https://dnr.wisconsin.gov/topic/parks/crossplains,There is a gravel parking lot on along the south side of Old Sauk Pass Road about 100 yards east of the main access area (8075 Old Sauk Pass Road). Visitors should park in this parking lot. Vehicles must not block the gate at the main access area. Parking is also available at the end of North Birch Trail where a short trail provides access to the DNR land south of the road. A small parking lot off of County Highway S provides access to the Fish and Wildlife property.,Open 6 a.m. to 11 p.m. year-round.,"43.0821,-89.6112",cross-plains-state-park,-1
Devil’s Lake State Park,TRUE,FALSE,FALSE,"Situated along the Ice Age National Scenic Trail, Devil's Lake State Park offers magnificent views from 500-foot quartzite bluffs overlooking a 360-acre lake. Visitors enjoy nearly 30 miles of hiking trails, lakeshore picnic areas, swimming beaches, paddling opportunities, and year-round naturalist programs.","S5975 Park Rd.
Baraboo, WI 53913-9299",Sauk County,608-356-8301,https://dnr.wisconsin.gov/topic/parks/devilslake,"The main entrance to Devil's Lake State Park is on the north shore of the lake off County Highway DL. The Visitor Center, Chateau, Nature Center, picnic area, shelters and beach are on the north shore. Quartzite, Northern Lights and Ice Age campgrounds are all accessed by the north shore entrance.",Open 6 a.m. to 11 p.m. year-round.,"43.428405,-89.732272",devils-lake-state-park,-1
Fischer Creek St. Rec. Area,FALSE,TRUE,FALSE,"Fischer Creek has about one mile of Lake Michigan shoreline, scenic wooded bluffs, grasslands and wetlands. It's a place for hiking, picnicking, wildlife viewing and relaxing on the beach. Much of the Lake Michigan shoreline consists of scenic bluffs that rise up to 40 feet above the water level. The property is operated by Manitowoc County.","3500 State Highway 310, Manitowoc, WI 54220",Manitowoc County,920-683-4189,https://dnr.wisconsin.gov/topic/parks/fischercreek,Take Highway LS South from Manitowoc approximately 8 miles. Driveways to the East.,Open sunrise to sunset year-round.,"43.9398,-87.7215",fischer-creek-st-rec-area,-1
Flambeau River State Forest,FALSE,FALSE,TRUE,"The Flambeau River State Forest provides excellent backcountry opportunities, including wooded hiking trails, ATV and snowmobile trails, family campgrounds and rustic river sites, hunting and fishing. Canoeing is the most popular activity at the forest. Different portions of the river offer varying degrees of difficulty. The North Fork is ideal for the novice, while the South Fork is for the advanced paddler. Nine landings offer access to forest lakes and the Flambeau River.","W1613 County Rd W, Winter, WI 54896",Sawyer County,715-332-5271,https://dnr.wisconsin.gov/topic/StateForests/flambeauriver,"The Flambeau River State Forest is located in north central Wisconsin in Sawyer, Price and Rusk counties. It surrounds 75 miles of the North and South Forks of the Flambeau River, with its headquarters located in the town of Winter.",The property is open from 6 a.m. to 11 p.m.,"45.769926,-90.760837",flambeau-river-state-forest,-1
Governor Dodge State Park,TRUE,FALSE,FALSE,"Governor Dodge State Park is one of the state's largest parks, with over 5,000 acres of steep hills, bluffs and deep valleys plus two lakes and a waterfall. Located in Wisconsin's scenic driftless area, Governor Dodge offers camping, picnicking, hiking, canoeing, biking, hunting, fishing, off-road biking, cross-country skiing and horseback riding opportunities.","4175 State Highway 23 N
Dodgeville, WI 53533",Iowa County,608-935-2315,https://dnr.wisconsin.gov/topic/parks/govdodge,Governor Dodge State Park's entrance is about 3 miles north of Highway 18 in Dodgeville.,Governor Dodge State Park is open year-round from 6 a.m. to 11 p.m.,"43.0184,-90.1395",governor-dodge-state-park,-1
Governor Knowles State Forest,FALSE,FALSE,TRUE,"This 55-mile-long forest in northwestern Wisconsin parallels the St. Croix National Scenic Riverway and offers camping, paddling, hiking, horseback riding, biking, hunting, fishing, cross-country skiing and snowmobiling opportunities. Three campgrounds (St. Croix, Trade River Equestrian and Sioux Portage Group) and nine primitive backpack campsites are found within 32,500 wooded acres.","325 State Road 70, Grantsburg, WI 54840",Burnett County,715-463-2898,https://dnr.wisconsin.gov/topic/StateForests/govknowles,"Governor Knowles State Forest is 55 miles, encompassing 32,500 acres, and acting as an extended resource protection zone for the St. Croix National Scenic Riverway. The forest extends from Danbury to Wolf Creek along the St. Croix River.",The forest is open year-round 6 a.m. to 11 p.m.,"45.772948,-92.688560",governor-knowles-state-forest,-1
Governor Nelson State Park,TRUE,FALSE,FALSE,"Located on 10,000-acre Lake Mendota, recreation and nature mingle within sight of the State Capitol. Governor Nelson is a day use park offering a sand beach, boat launch, fish cleaning facility, picnic areas and playground equipment, prairie restorations and over 8 miles of trails. Native American effigy mounds can be seen on the Woodland Trail.","5140 Cty Hwy M
Waunakee, WI 53597",Dane County,608-831-3005,https://dnr.wisconsin.gov/topic/parks/govnelson,"The entrance to Governor Nelson State Park is on the southeast side of County Highway M, about 2 miles west of State Highway 113 and 4.7 miles east of U.S. Highway 12.",Governor Nelson State Park is open year-round from 6 a.m. to 11 p.m.,"43.1374,-89.4399",governor-nelson-state-park,-1
Governor Thompson State Park,TRUE,FALSE,FALSE,"With more than 2,800 acres of woods, a family campground, picnic and beach area on Woods Lake, hiking and skiing trails, and 6 miles of shoreline on Caldron Falls Flowage, visitors will find an atmosphere perfect for relaxation and recreation. The park is adjacent to the Peshtigo River, a popular free-flowing river for fly-fishing and canoeing.","N10008 Paust Lane
Crivitz, WI 54114",Marinette County,715-757-3979,https://dnr.wisconsin.gov/topic/parks/govthompson,Governor Thompson State Park is approximately 15 miles northwest of Crivitz.,Governor Thompson State Park is open year-round from 6 a.m. to 11 p.m.,"45.3233,-88.2218",governor-thompson-state-park,-1
Harrington Beach State Park,TRUE,FALSE,FALSE,"Harrington Beach State Park has more than a mile of beach along Lake Michigan. This 715-acre park also features a white cedar and hardwood swamp, old field grasslands with restored wetland ponds and a scenic limestone quarry lake. Camp, sunbathe, picnic, hike, bird watch, fish or practice astronomy at one of the observatory's monthly public viewings.","531 County Road D
Belgium, WI 53004",Ozaukee County,262-285-3015,https://dnr.wisconsin.gov/topic/parks/harringtonbeach,"Harrington Beach is about 35 miles north of Milwaukee and 21 miles south of Sheboygan, Wisconsin, via Interstate Highway 43. From I-43, take exit 107 (Belgium/Lake Church) and go east on County Highway D about 1 mile. The park entrance will be on your right.",Harrington Beach State Park is open year-round from 6 a.m. to 11 p.m.,"43.4974,-87.8109",Harrington-Beach-State-Park,-1
Hartman Creek State Park,TRUE,FALSE,FALSE,"Located on the beautiful Chain O' Lakes, Hartman Creek State Park is a quiet and friendly, natural gem and a popular destination in central Wisconsin. The park offers camping, boating, swimming, horseback riding and mountain biking opportunities, the historic Hellestad House log cabin, and four picnic areas including Whispering Pines along crystal-clear Marl Lake.","N2480 Hartman Creek Rd.
Waupaca, WI 54981-9727",Waupaca County,715-258-2372,https://dnr.wisconsin.gov/topic/parks/hartmancreek,"Hartman Creek is about 1 hour and 15 minutes from Green Bay and about two hours north of Madison. It is west of Waupaca on Hartman Creek Road, south of State Highway 54 and north of State Highway 22. The park straddles the Waupaca-Portage county line. ",The park is open year-round from 6 a.m. to 11 p.m.,"44.3293,-89.2139",Hartman-Creek-State-Park,-1
Havenwoods State Forest,FALSE,FALSE,TRUE,"Havenwoods State Forest is Wisconsin’s only urban state forest, featuring 237 acres of grasslands, woods and wetlands in the city of Milwaukee. Hike, run, bike and watch wildlife on over 6 miles of trails. Explore the nature center, the forest's ponds, stroll over the 120-foot bridge or find a bench to sit and relax outdoors.","6141 N. Hopkins St.
Milwaukee, WI 53209",Milwaukee County,414-527-0232,https://dnr.wisconsin.gov/topic/parks/havenwoods,"Havenwoods State Forest is on the north side of Milwaukee, one block west of Sherman Boulevard on Douglas Avenue. At the park entrance, continue up the hill to the parking lot and nature center.",The forest is open year-round from 6 a.m. to 8 p.m.,"43.1288,-87.9697",Havenwoods-State-Forest,-1
Heritage Hill State Park,TRUE,FALSE,FALSE,"Experience ""living history"" at Heritage Hill State Park, a unique outdoor museum in Green Bay. The park features 24 structures from Wisconsin's past — the fur trade in 1762, Fort Howard in 1836, small towns in 1871 and ethnic farms in 1905.  The park and museum is operated by the Heritage Hill Corporation. A per-person admission fee to the park is charged. Wisconsin state park vehicle admission stickers are not sold at Heritage Hill.","2640 S Webster Ave
Green Bay, WI 54301",Brown County,920-448-5150,https://dnr.wisconsin.gov/topic/parks/heritagehill,"Our main entrance is through the Education Center, and gate next to the Education Center, off of Webster Ave.",Open Tuesday – Sunday from 8am – 3pm. Closed on Mondays.,"44.4731,-88.0300",Heritage-Hill-State-Park,-1
High Cliff State Park,TRUE,FALSE,FALSE,"High Cliff State Park is the only state-owned recreational area on Lake Winnebago, Wisconsin's largest lake. The park gets its name from the limestone cliff of the Niagara Escarpment, which parallels the eastern shore of Lake Winnebago. The magnificent 12-foot statue of Winnebago Indian Chief Red Bird, standing high on a huge granite rock, overlooks the lake and is a popular destination in the park.","N7630 State Park Rd
Sherwood WI 54169",Calumet County,920-989-1106,https://dnr.wisconsin.gov/topic/parks/highcliff,"High Cliff State Park is on the northeast corner of Lake Winnebago in the town of Sherwood, Wisconsin.",The park is open year-round from 6 a.m. to 11 p.m.,"44.1670,-88.2911",High-Cliff-State-Park,-1
Hoffman Hills St. Rec. Area,FALSE,TRUE,FALSE,"Hoffman Hills State Recreation Area offers 700 acres of preserved and restored wooded hills, wetlands and prairie traversed with hiking and cross-country ski trails. A 60-foot-high observation tower crowns one of the highest points in Dunn County, offering spectacular views of the surrounding countryside, especially in autumn.","740th Street
Menomonie, WI",Dunn County,715-232-1242,https://dnr.wisconsin.gov/topic/parks/hoffmanhills,"Hoffman Hills State Recreation Area is located on 740th Street, Menomonie, WI.",Hoffman Hills is open year-round from 7 a.m. to 9 p.m.,"44.9440,-91.7831",Hoffman-Hills-St-Rec-Area,-1
Interstate Park,TRUE,FALSE,FALSE,"Interstate is Wisconsin's oldest state park, established in 1900. Located along the picturesque St. Croix National Scenic Riverway, the park provides scenic views of the river and the steep-sided gorge known as the Dalles of the St. Croix. The Ice Age Interpretive Center features a film, photographs, murals and information about Wisconsin's glacial history.","1275 State Highway 35
St. Croix Falls, WI 54024",Polk County,715-483-3747,https://dnr.wisconsin.gov/topic/parks/interstate,"Interstate Park is in St. Croix Falls, on Wisconsin Highway 35 just 1/2 mile south of U.S. Highway 8.",Interstate Park is open year-round from 6 a.m. to 11 p.m.,"45.3954,-92.6405",Interstate-Park,-1
Kettle Moraine SF – Lapham Peak Unit,FALSE,FALSE,TRUE,"The Lapham Peak Unit of the Kettle Moraine State Forest was formed 10,000 years ago when a glacier covered much of Wisconsin. Lapham Peak's glaciated topography provides excellent hiking, backpacking and cross-country skiing on lighted trails. Climb a 45-foot observation tower atop the highest point in Waukesha County (1,233 feet above sea level).","W329 N846 County Rd C
Delafield, WI 53018",Waukesha County,262-646-3025,https://dnr.wisconsin.gov/topic/parks/laphampeak,"Lapham Peak is 25 miles west of Milwaukee and 1 mile south of Interstate 94 near Delafield, on County Highway C.",The forest is open from 6 a.m. to 9 p.m. year-round.,"43.0420,-88.4029",Kettle-Moraine-SF-Lapham-Peak-Unit,-1
Kettle Moraine SF – Loew Lake Unit,FALSE,FALSE,TRUE,"The Loew Lake Unit of the Kettle Moraine State Forest is situated along Wisconsin's Ice Age National Scenic Trail. Hiking, horseback riding, fishing and hunting opportunities are available in the forest. Loew Lake is a day-use property and there is no overnight camping.","989 Emarald Dr, Hartford, WI 53027",Dodge County,262-670-3400,https://dnr.wisconsin.gov/topic/parks/loewlake,"The Loew Lake Unit of the Kettle Moraine State Forest is near the town of Monches, just north of the Washington/Waukesha county line. The main parking lot and trail head is on Emerald Drive, about 2 miles east of County Highway K in southern Washington County.",The forest is open year-round from 6 a.m. to 11 p.m.,"43.2249,-88.3160",Kettle-Moraine-SF-Loew-Lake-Unit,-1
Kettle Moraine SF – Mukwonago River Unit,FALSE,FALSE,TRUE,"The Mukwonago River Unit of the Kettle Moraine State Forest is in Waukesha and Walworth counties. The 970-acre, former Rainbow Springs property, is situated in the Mukwonago River watershed and is an area known for its outstanding resource waters, varied habitats and biological diversity. The forest is adjacent to Lulu Lake State Natural Area.","Waukesha County Highway LO, Mukwonago, WI 53149",Waukesha County,262-594-6204,https://dnr.wisconsin.gov/topic/parks/mukwonago,"The property is about 5 miles west of the town of Mukwonago and about 3 miles north of the town of East Troy. There is a parking area on Waukesha County Highway LO. Visitors may park their vehicles in this area and walk into the property. Visitors should be aware of closed areas, active work zones and potential hazards from construction debris and demolished structures. There are parking lots on County Highway J and County Highway E in Walworth County. Visitors may park their vehicles in these areas and walk into the property. ",The Mukwonago River Unit of the Kettle Moraine State Forest is open from 6 a.m. to 11 p.m. year-round.,"42.8567,-88.4178",Kettle-Moraine-SF-Mukwonago-River-Unit,-1
Kettle Moraine SF – Northern Unit,FALSE,FALSE,TRUE,"The first and largest unit of the Kettle Moraine State Forest offers year-round recreation among world-famous glacial landforms. Visitors can swim at three beaches, enjoy challenging mountain biking trails or groomed ski trails, hike the Ice Age Trail, take in a nature program, or just escape among 30,000 acres of rolling, wooded hills and prairies. The Ice Age Visitor Center is open all year. The forest has over 350 campsites, including family, group, equestrian and backpack opportunities.","N1765 Co Rd G, Campbellsport, WI 53010",Fond du Lac County,262-626-2116,https://dnr.wisconsin.gov/topic/parks/kmn,The Northern Unit of the Kettle Moraine State Forest is a linear property spread out over 22 miles between Glenbeulah and West Bend.,The forest is open from 6 a.m. to 11 p.m. daily.,"43.6040,-88.1874",Kettle-Moraine-SF-Northern-Unit,-1
Kettle Moraine SF – Pike Lake Unit,FALSE,FALSE,TRUE,"The Pike Lake Unit of the Kettle Moraine State Forest is in the middle of the Kettle Moraine, a strip of glacial landforms which extends through southeast Wisconsin. The forest is named after the 522-acre, spring-fed kettle lake. Powder Hill, a large glacial kame, provides terrific views of the landscape. Visitors can enjoy camping, swimming, hiking, fishing, picnicking and more.","3544 Kettle Moraine Road
Hartford, WI 53027",Dodge County,262-670-3403,https://dnr.wisconsin.gov/topic/parks/pikelake,"Pike Lake is on State Highway 60 between Hartford and Slinger. It is about 25 miles north of Milwaukee, 60 miles east of Madison and 40 miles south of Fond du Lac. The forest entrance is about 3 miles west of U.S. Highway 41 and 7 miles west of U.S. Highway 45.",The forest is open year-round from 6 a.m. to 11 p.m.,"43.3196,-88.3195",Kettle-Moraine-SF-Pike-Lake-Unit,-1
Kettle Moraine SF – Southern Unit,FALSE,FALSE,TRUE,"Covering more than 22,000 acres of forested glacial hills, kettle lakes and prairies, the Southern Unit of the Kettle Moraine State Forest is interlaced with more than 100 miles of mountain biking, horseback riding and hiking and nature trails. Paddling, boating, swimming, fishing, hunting and winter sport opportunities are all available. There are three family campgrounds, a horseriders camp, two group camps and remote backpack shelters on the Ice Age Trail.","S91 W39092 Highway 59
Eagle, WI 53119",Waukesha County,262-594-6200,https://dnr.wisconsin.gov/topic/parks/kms,The Kettle Moraine State Forest—Southern Unit is 61 miles east of Madison and 37 miles southwest of Milwaukee.,The state forest is open from 6 a.m. to 11 p.m. daily.,"42.8766,-88.5252",Kettle-Moraine-SF-Southern-Unit,-1
